condition,seed_id,n_gen,vendi
gemma_t10,7421176,51,2.350351095199585
gemma_t10,7454072,51,3.454993724822998
gemma_t10,7473831,51,2.1035690307617188
gemma_t10,7475429,51,3.2745234966278076
gemma_t10,7490434,51,2.7377915382385254
gemma_t10,7497218,51,2.891024112701416
gemma_t10,7499734,51,2.96775484085083
gemma_t10,7516595,51,2.388885498046875
gemma_t10,7557552,51,3.3920536041259766
gemma_t10,7617879,51,4.7720513343811035
gemma_t10,7658338,51,3.6975584030151367
gemma_t10,7663461,51,5.8233466148376465
gemma_t10,7665329,51,2.300787925720215
gemma_t10,7680936,51,2.412034749984741
gemma_t10,7699280,51,2.901674747467041
gemma_t10,7708374,51,2.8796675205230713
gemma_t10,7752968,51,2.547013282775879
gemma_t10,7785983,51,2.502230405807495
gemma_t10,7819714,51,2.6067447662353516
gemma_t10,7890036,51,4.672787666320801
gemma_t10,7988167,51,2.632479190826416
gemma_t10,8008954,51,2.7236826419830322
gemma_t10,8012781,51,1.7391092777252197
gemma_t10,8021351,51,2.5209741592407227
gemma_t10,8031974,51,2.1203079223632812
gemma_t10,8052901,51,2.1684939861297607
gemma_t10,8066499,51,1.7144522666931152
gemma_t10,8198608,51,2.9091413021087646
gemma_t10,8202418,51,3.524015188217163
gemma_t10,8229552,51,2.5710837841033936
gemma_t10,8280711,51,2.98179030418396
gemma_t10,8387007,51,2.1809699535369873
gemma_t10,8395799,51,2.0136635303497314
gemma_t10,8523995,51,2.8543012142181396
gemma_t10,8528301,51,2.4197871685028076
gemma_t10,8586038,51,3.018784523010254
gemma_t10,8677917,51,2.7928996086120605
gemma_t10,8723181,51,2.8225817680358887
gemma_t10,8723311,51,2.50675368309021
gemma_t10,8821211,51,3.3198931217193604
gemma_t10,8940645,51,2.9417824745178223
gemma_t10,9124334,51,2.835461139678955
gemma_t10,9134916,51,2.408921718597412
gemma_t10,9135033,51,2.192960262298584
gemma_t10,9137624,51,3.465930461883545
gemma_t10,9163756,51,2.5834076404571533
gemma_t10,9164793,51,2.682715654373169
gemma_t10,9187880,51,2.6423556804656982
gemma_t10,9192723,51,2.826211452484131
gemma_t10,9197196,51,2.403665065765381
gemma_t10,9205021,51,3.3654592037200928
gemma_t10,9251622,51,2.80195951461792
